URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_01_00_50_09_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-01 00:50:09
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
Symfony 2.6.0 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.71362	0.71727	0.00073	0.71493	0.00	0.71479	0.00	0	37.33
Symfony 2.6.0 demo app	50	50	100	PHP - previous master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.70942	0.71484	0.00089	0.71086	-0.57	0.71070	-0.57	0	37.39
Symfony 2.6.0 demo app	50	50	100	PHP - master	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.70843	0.71261	0.00095	0.71042	-0.63	0.71020	-0.64	0	37.39
Symfony 2.6.0 demo app	50	50	100	PHP - master (JIT)	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.68218	0.68527	0.00073	0.68341	-4.41	0.68329	-4.41	0	44.48
Wordpress 6.2 main page	10	50	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58171	0.58483	0.00067	0.58287	0.00	0.58282	0.00	0	42.95
Wordpress 6.2 main page	10	50	20	PHP - previous master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.57799	0.58068	0.00055	0.57904	-0.66	0.57892	-0.67	0	42.80
Wordpress 6.2 main page	10	50	20	PHP - master	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.57344	0.57952	0.00172	0.57753	-0.92	0.57822	-0.79	0	42.80
Wordpress 6.2 main page	10	50	20	PHP - master (JIT)	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.51943	0.52175	0.00051	0.52057	-10.69	0.52052	-10.69	0	61.91
bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.21535	0.21925	0.00096	0.21733	0.00	0.21732	0.00	0	26.12
bench.php	10	50	0	PHP - previous master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.21481	0.21892	0.00100	0.21620	-0.52	0.21611	-0.55	0	26.06
bench.php	10	50	0	PHP - master	60252b7845	https://github.com/php/php-src/commit/60252b7845	0.21489	0.21867	0.00088	0.21595	-0.64	0.21577	-0.71	0	26.06
